Grafia confirmada;ID da Etnia
ninám;303.01
sanumá;303.02
XIRIANA;303.03
yanomán;303.04
yawalapití;304.00
yawanawá;305.00
ye'kuana;306.00
yudjá;307.00
yuhúp;308.00
yurutí;309.00
zo'é;310.00
zoró;311.00
