id,tituloPincipal,tituloOriginal,anoLancamento,tempoMinutos,genero,notaMedia,numeroVotos,generoArtista,personagem,nomeArtista,anoNascimento,anoFalecimento,profissao,titulosMaisConhecidos,Is_English
tt12077076,Sententia,Sententia,2020,90,Drama,5.9,30,actress,Mama,Liliya Belikova,N,N,actress,N,True
tt12077086,Tsoi,Tsoy,2020,97,Drama,4.8,270,actress,Marina,Maryana Spivak,1985,N,actress,"tt8079248,tt6304162,tt12077086,tt9151230",False
tt12077252,La creciente,La creciente,2019,70,Drama,6.4,22,actor,N,Cristian Salguero,N,N,actor,"tt7077616,tt3784222,tt11312968,tt13971644",False
tt12077826,Death Inhabits at Night,A Morte Habita à Noite,2020,94,Drama,7.4,29,actress,N,Mariana Nunes,N,N,actress,"tt0995868,tt3527550,tt4895668,tt2071544",False
tt12077970,A Tale of Love and Desire,Une histoire d'amour et de désir,2021,102,"Drama,Romance",6.8,583,actress,Farah Kallel,Zbeida Belhajamor,N,N,actress,"tt12560706,tt4816922,tt12077970,tt2435372",False
tt12078088,Mugil Pete,Mugil Pete,2021,130,Romance,7.8,71,actor,N,Cockroach Sudhi,1982,N,actor,"tt10415494,tt10415600,tt15422572,tt15722720",False
tt12083854,Emergency,Emergency,2020,N,Drama,8.6,12,actress,Meera Krishnan,Anitha Sampath,N,N,actress,"tt12083854,tt10579952,tt13648286,tt8411144",True
tt12084582,"One Day, Dolores Was on Her Own",Dolores un día se quedó sola,2019,71,Drama,5.0,14,actress,Dolores,Rocío Ray,N,N,actress,tt12084582,False
tt12087688,Lamat,Lamat,2014,85,Drama,6.2,14,actor,Phong,Raven Legaspi,N,N,actor,"tt13686454,tt12087688",False
tt12092584,Bliss,Glück,2021,91,"Drama,Romance",5.6,290,actor,Mike,Jean-Luc Bubert,1979,N,actor,"tt3203502,tt12092584,tt0806910,tt8435932",False
tt12094018,They,Anha,2019,102,Drama,5.1,32,actor,Saeedi,Jalal Fatemi,1957,N,"actor,director,writer","tt5837342,tt5766064,tt5704874,tt5850194",False
tt12102582,New Queer Visions: Seeing Is Believing,New Queer Visions: Seeing Is Believing,2020,94,Drama,7.2,17,actress,Elena (segment Adult),Victoria Haralabidou,1971,N,actress,"tt0368619,tt1334328,tt1174037,tt1282024",True
tt12104216,Coming for You,Coming for You,2019,180,Drama,9.5,8,actress,Chunyan Lv,Amber Li,N,N,"costume_department,make_up_department,actress","tt12075440,tt12104216,tt13107568,tt21878092",True
tt12115032,Dazed Flesh,Vaga Carne,2019,45,Drama,7.6,47,actress,N,Zora Santos,N,N,actress,"tt12115032,tt0088906",False
tt12116216,Golden Thread,Okros dzapi,2019,90,Drama,7.0,29,actress,Elene,Nana Dzhordzhadze,1948,N,"director,writer,actress","tt0117050,tt0246405,tt0091580,tt4079976",False
tt12116566,Pesthauch der Menschlichkeit,Pesthauch der Menschlichkeit,2018,76,Drama,5.9,30,actress,Marietta,Marietta Fiori,N,N,actress,"tt12116566,tt9834630",False
tt12117528,Kanni Maadam,Kanni Maadam,2020,132,"Drama,Romance",7.2,163,actor,Shankar,Murugadass,N,N,actor,"tt4991384,tt0422320,tt7019842,tt1821317",False
tt1212055,A+,A+,2013,51,Drama,8.5,15,actor,Professor Dotson,Gordon Tobul,N,N,actor,"tt1212055,tt1472543,tt2286894,tt1753728",False
tt12121760,Karnawal,Karnawal,2020,95,Drama,6.4,155,actor,Eusebio,Diego Cremonesi,N,N,actor,"tt10815036,tt9852660,tt5153260,tt8956390",False
tt12122258,COVID-19,COVID-19,2020,72,Drama,2.8,55,actor,Passenger 1,Eloise Frazer,N,N,actor,N,False
tt12132832,London Nahi Jaunga,London Nahi Jaunga,2022,155,"Drama,Romance",5.2,835,actress,Arzoo,Kubra Khan,N,N,actress,"tt10695638,tt3815994,tt8032912,tt10410036",False
tt12137428,Kizoku Kourin: Prince of Legend,Kizoku Kourin: Prince of Legend,2020,93,Drama,6.1,14,actor,Riku Odajima,Makoto Hasegawa,N,N,actor,"tt9081432,tt15740914,tt9302958,tt12137428",False
tt12139560,Vidhi,Vidhi,2021,130,Drama,5.7,638,actor,N,Baiju,N,N,actor,"tt10644282,tt7268738,tt6067752,tt0972800",False
tt12140194,Kenjira,Kenjira,2019,N,Drama,8.2,6,actress,N,Vinusha Ravi,N,N,actress,N,False
tt12140804,Ghosts,Hayaletler,2020,90,Drama,5.9,972,actress,Ela,Beril Kayar,1988,N,actress,"tt0845088,tt8565278,tt1826071,tt2239964",False
