id,tituloPincipal,tituloOriginal,anoLancamento,tempoMinutos,genero,notaMedia,numeroVotos,generoArtista,personagem,nomeArtista,anoNascimento,anoFalecimento,profissao,titulosMaisConhecidos
tt10116478,Rose and Tulip,Rose and Tulip,2019,90,Romance,7.2,48,actor,Jin-Il,Hwang Chan-sung,1990,N,actor,"tt15809802,tt6788748,tt8242904,tt5218854"
tt10116478,Rose and Tulip,Rose and Tulip,2019,90,Romance,7.2,48,actress,Myung-A,Hyunri,N,N,actress,"tt14034966,tt3069212,tt14300330,tt10552772"
tt10116478,Rose and Tulip,Rose and Tulip,2019,90,Romance,7.2,48,actor,NeroDaewon,Jun-Ho Lee,1990,N,actor,"tt6352982,tt14687200,tt7521898,tt8236528"
tt10116478,Rose and Tulip,Rose and Tulip,2019,90,Romance,7.2,48,actress,Etsuko,Eri Fuse,1962,N,actress,"tt1119377,tt2390301,tt0098967,tt0852726"
tt10125986,Up to You,Watakushi no dorei ni narinasai dai san sho o ma e shidai,2018,104,Romance,3.7,164,actress,N,Sugiyama Mio,N,N,,tt10125986
tt10125986,Up to You,Watakushi no dorei ni narinasai dai san sho o ma e shidai,2018,104,Romance,3.7,164,actor,N,Akihiko Sai,N,N,"actor,stunts,miscellaneous","tt5776208,tt3685522,tt1669604,tt5740056"
tt10125986,Up to You,Watakushi no dorei ni narinasai dai san sho o ma e shidai,2018,104,Romance,3.7,164,actress,N,Yurisa,N,N,actress,"tt7920138,tt6063024,tt3595926,tt1165003"
tt10125986,Up to You,Watakushi no dorei ni narinasai dai san sho o ma e shidai,2018,104,Romance,3.7,164,actress,N,Yukihira Aika,N,N,,"tt14405344,tt10125986,tt4724388"
tt10125986,Up to You,Watakushi no dorei ni narinasai dai san sho o ma e shidai,2018,104,Romance,3.7,164,actor,N,Yûki Ashida,N,N,"actor,stunts","tt6372694,tt12015352,tt13686374,tt10070730"
tt10125986,Up to You,Watakushi no dorei ni narinasai dai san sho o ma e shidai,2018,104,Romance,3.7,164,actress,N,Yamane Chiharu,N,N,,tt10125986
tt10125986,Up to You,Watakushi no dorei ni narinasai dai san sho o ma e shidai,2018,104,Romance,3.7,164,actor,N,Katsuya Maiguma,N,N,"actor,miscellaneous","tt8075192,tt10795658,tt1825371,tt4143148"
tt10162730,Prem Amar 2,Prem Amar 2,2019,N,Romance,3.8,93,actor,Ajay,Shoud Bin Nahin,N,N,actor,N
tt10162730,Prem Amar 2,Prem Amar 2,2019,N,Romance,3.8,93,actor,N,Eyasin Arafat,N,N,"actor,music_department","tt4061558,tt13814292,tt1390821,tt10162730"
